
2023-14-18		16:14:15	 4d2c4819-1ff0-446e-8fbe-81b40bf8cd00	 GET	/img/yo.jpeg	undefined 
2023-14-18		16:14:15	 94f6c0a8-80a8-4ec3-8db2-749367bccca1	 GET	/favicon.ico	undefined 
2023-55-19		08:55:23	 32e97683-8e99-4f8e-ad95-b3dd79f370a1	 GET	/students	undefined 
2023-56-19		08:56:25	 b91b1092-1bb8-4ad3-aa60-19d5a154fd1f	 POST	/students	undefined 
2023-57-19		08:57:30	 b32037c2-85b3-40a9-bef4-8c301fe51cac	 POST	/students	undefined 
2023-58-19		08:58:49	 3e4d9277-0372-4da1-9e75-261083ff5a38	 PUT	/students	undefined 
2023-59-19		08:59:59	 c430c263-2e0f-43a8-b5d3-5f361f68590c	 PATCH	/students	undefined 
2023-00-19		09:00:09	 7be96752-a629-4763-bc2b-a79464ea836a	 PUT	/students	undefined 
2023-39-19		09:39:13	 ae8ff958-5f44-4092-b2a3-0484c1b90e51	 GET	/1	undefined 
2023-39-19		09:39:25	 408e07c8-27d7-48cf-8692-0d869b4df0d5	 GET	/students/1	undefined 
2023-40-19		09:40:10	 b4e895a0-fb9e-46b3-aeea-145a176bf69a	 GET	/students/2	undefined 
2023-20-19		12:20:41	 d294d2bc-57bb-46c2-b2e5-2f08f0d35cd9	 GET	/students	undefined 
2023-22-19		12:22:19	 6fc9f873-43f2-4811-8af8-ee1733017fe9	 POST	/students	undefined 
2023-22-19		12:22:39	 bbc9f94a-e78d-43aa-acbb-fb3f09b561ca	 POST	/students	undefined 
2023-23-19		12:23:31	 466a3b2b-edb4-45a4-bc05-8299e6f41530	 POST	/students	undefined 
2023-23-19		12:23:48	 eebb228f-7c4f-4a94-a135-92fa5e2c5d9b	 POST	/students	undefined 
2023-26-19		12:26:19	 5dc0e55a-8a55-48cb-b11f-a65cdb42ca75	 POST	/students	undefined 
2023-28-19		12:28:42	 7e552d25-4cc3-40da-abc1-2dc26ccd1382	 POST	/students	undefined 
2023-32-19		12:32:00	 4e7148eb-c50f-450f-af51-3098e8cb5705	 GET	/students	undefined 
2023-32-19		12:32:29	 f271d10e-2e5b-477a-a6bc-54d260e14c10	 POST	/students	undefined 
2023-33-19		12:33:39	 2e735b13-cec1-4386-a3cb-59209c79831d	 DELETE	/students	undefined 
2023-35-19		12:35:11	 02204895-0802-4fa5-9c92-e6a85e6956c2	 DELETE	/students	undefined 
2023-53-19		12:53:12	 92e53fb4-4037-4bda-8ca3-53cb10cfc3d4	 DELETE	/students	undefined 
2023-55-19		12:55:10	 84c4a52e-53d4-4192-bb74-0af547858e90	 GET	/students	undefined 
2023-23-23		09:23:56	 45b8dafe-21c7-4a12-a430-ff04b1ffce40	 GET	/students	undefined 
2023-29-23		09:29:12	 3aadc2de-9fa8-4859-8821-34fcac172892	 GET	/register	undefined 
2023-29-23		09:29:27	 337251c9-0593-4c5b-87d4-6ff1990b92d9	 GET	/students	undefined 
2023-29-23		09:29:33	 27bd5b92-9783-4c6d-8d31-2d839541ef10	 POST	/students	undefined 
2023-32-23		09:32:33	 3feeb721-515c-4b31-921c-0683625e884b	 POST	/students	undefined 
2023-41-23		09:41:02	 0e469ed0-44a3-46e4-b9ad-420243ed12a2	 POST	/students	undefined 
2023-44-23		09:44:58	 166f728d-32ab-4226-8464-4acc57bb6fd8	 POST	/students	undefined 
2023-46-23		09:46:39	 5322d888-eee8-46aa-a091-940a9aaaa120	 POST	/students	undefined 
2023-48-23		09:48:45	 3d4016d9-e101-4067-b699-cd3155c913c0	 POST	/students	undefined 
2023-50-23		09:50:07	 440e4b84-a3c4-49d5-a788-f29e98ab554c	 POST	/students	undefined 
